Item Code,Item Description,Strength,Dosage Form,Category
AA000300,6 - Mercaptopurine 50mg tablet,50mg,Tablet,Tablets and Capsules
AA000600,Acetazolamide 250mg tablet,250mg,Tablet,Tablets and Capsules
AA000900,Acyclovir 400mg tablet,400mg,Tablet,Tablets and Capsules
AA000901,Acyclovir 200mg tablet,200mg,Tablet,Tablets and Capsules
AA001200,Albendazole 200mg chewable tablets,200mg,Tablet,Tablets and Capsules
AA001500,Albendazole 400mg chewable tablets,400mg,Tablet,Tablets and Capsules
AA001560,Alfacalcidol 1mcg (One Alpha),1mcg,Tablet,Tablets and Capsules
AA001600,Bisoprolol 2.5mg tablets,2.5mg,Tablet,Tablets and Capsules
AA001800,Allopurinol 100mg tablet,100mg,Tablet,Tablets and Capsules
AA001949,Cellcept (mycophenolate) 500mg tablets,500mg,Tablet,Tablets and Capsules
AA001950,Cellcept (mycophenolate) 500mg tablets,500mg,Tablet,Tablets and Capsules
AA002100,Allopurinol 300mg tablet,300mg,Tablet,Tablets and Capsules
AA002300,Cyclosporine 25 mg(Sandimmun Optoral 25mg capsules),25mg,Capsule,Tablets and Capsules
AA002450,Perindopril (Corvesyl) 5mg tablets,5mg,Tablet,Tablets and Capsules
AA002451,Perindopril (Corvesyl) 4mg tablets,4mg,Tablet,Tablets and Capsules
AA002700,Aminophylline 100mg tablet,100mg,Tablet,Tablets and Capsules
AA002750,Simvastatin 20mg tablet,20mg,Tablet,Tablets and Capsules
AA003000,Amiodalone 100mg tablet,100mg,Tablet,Tablets and Capsules
AA003300,Amitriptyline 25mg tablet,25mg,Tablet,Tablets and Capsules
AA003350,Sodium bicarbomirate 500mg (BicuNorin),500mg,Tablet,Tablets and Capsules
AA003600,Amlodipine 10mg tablet,10mg,Tablet,Tablets and Capsules
AA003900,Amlodipine 5mg tablet,5mg,Tablet,Tablets and Capsules
AA004200,Amoxycillin 250mg dispersible tablets,250mg,Capsule,Tablets and Capsules
AA004250,Decortin (Prednisolone) 5mg tablets,5mg,Tablet,Tablets and Capsules
AA004500,"Amoxycillin 250mg, Dispersible Tablets",250mg,Tablet,Tablets and Capsules
AA004800,Amoxycillin 250mg capsule,250mg,Capsule,Tablets and Capsules
AA005100,Amoxycillin 250mg tablet,250mg,Tablet,Tablets and Capsules
AA005400,Amoxycillin 500mg plus Clavulanic acid 125mg tablet,625mg,Tablet,Tablets and Capsules
AA005700,Anastrazole 1mg tablet,1mg,Tablet,Tablets and Capsules
AA006000,Aripiprazole 10mg tablets,10mg,Tablet,Tablets and Capsules
AA006900,Artesunate 50mg+Amodiaquine 153mg(base) (6+6s) tablet,203mg,Tablet,Tablets and Capsules
AA007100,Hydrochlorothiazide 12.5 mg tablet,12.5mg,Tablet,Tablets and Capsules
AA007200,Aspirin 300mg tablet,300mg,Tablet,Tablets and Capsules
AA007250,Aspirin 100mg tablet,100mg,Tablet,Tablets and Capsules
AA007500,Aspirin 75mg tablet,75mg,Tablet,Tablets and Capsules
AA007800,Atenolol 100mg tablet,100mg,Tablet,Tablets and Capsules
AA007840,Atenolol 50mg tablet,50mg,Tablet,Tablets and Capsules
AA008100,Atenolol 50mg tablet,50mg,Tablet,Tablets and Capsules
AA008400,Azathioprine 50mg Tablets,50mg,Tablet,Tablets and Capsules
AA008700,Azithromycin 500mg capsule,500mg,Capsule,Tablets and Capsules
AA008701,Azithromycin 250mg tablet,250mg,Tablet,Tablets and Capsules
AA008702,Azithromycin 500mgTablet,500mg,Tablet,Tablets and Capsules
AA008750,Baclofen 10mg,10mg,Tablet,Tablets and Capsules
AA009000,Benzhexol 5mg tablet,5mg,Tablet,Tablets and Capsules
AA009300,Bicalutamide 50mg tablets,50mg,Tablet,Tablets and Capsules
AA009600,Bicalutamide 50mg Tablets,50mg,Tablet,Tablets and Capsules
AA009900,Bisacodyl 5mg tablet,5mg,Tablet,Tablets and Capsules
AA010200,Bromocriptine 2.5mg tablet,2.5mg,Tablet,Tablets and Capsules
AA010850,Colecalciferol olige 20000 IU tablet,20000IU,Tablet,Tablets and Capsules
AA011450,Candesartan 4mg tablets (Atacand 4mg),4mg,Tablet,Tablets and Capsules
AA011700,Capecitabine 500 mg tablet,500mg,Tablet,Tablets and Capsules
AA012000,Captopril 12.5mg tablet,12.5mg,Tablet,Tablets and Capsules
AA012300,Captopril 25mg tablet,25mg,Tablet,Tablets and Capsules
AA012600,Carbamazepine 200mg tablet,200mg,Tablet,Tablets and Capsules
AA012900,Carbimazole 5mg tablet,5mg,Tablet,Tablets and Capsules
AA013200,Cephalexin 250mg capsule,250mg,Tablet,Tablets and Capsules
AA013500,Cetirizine hydrochloride 10mg tablet,10mg,Tablet,Tablets and Capsules
AA013501,cetrizine 25 Mg Tablets,25mg,Tablet,Tablets and Capsules
AA013800,Chlorambucil 5mg Tablets,5mg,Tablet,Tablets and Capsules
AA013830,Chloramphenicol 250mg,250mg,Tablet,Tablets and Capsules
AA014100,Chlorpheniramine maleate 4mg,4mg,Tablet,Tablets and Capsules
AA014400,"Chlorpromazine 100mg, coated tablets",100mg,Tablet,Tablets and Capsules
AA014700,"Chlorpromazine 25mg, coated tablets",25mg,Tablet,Tablets and Capsules
AA015000,Cimetidine 400mg tablet,400mg,Tablet,Tablets and Capsules
AA015300,Cinnarizine 15mg tablets,15mg,Tablet,Tablets and Capsules
AA015600,Ciprofloxacin 250mg tablet,250mg,Tablet,Tablets and Capsules
AA015900,Ciprofloxacin 500mg tablet,500mg,Tablet,Tablets and Capsules
AA016200,Cloxacillin 250 mg capsule,250mg,Tablet,Tablets and Capsules
AA016500,Cloxacillin 500 mg capsule,500mg,Tablet,Tablets and Capsules
AA017400,Codeine phosphate 15mg tablet,15mg,Tablet,Tablets and Capsules
AA017700,Codeine phosphate 15mg tablet,15mg,Tablet,Tablets and Capsules
AA018000,Codeine phosphate 30mg tablet,30mg,Tablet,Tablets and Capsules
AA018300,Conjugated Oestrogen 0.625mg tablet,0.625mg,Tablet,Tablets and Capsules
AA018600,Cotrimoxazole 480mg tablet,480mg,Tablet,Tablets and Capsules
AA018900,Cyclophosphamide 100mg tablet,100mg,Tablet,Tablets and Capsules
AA019200,Cyclophosphamide 50mg tablet,50mg,Tablet,Tablets and Capsules
AA019500,Cyclophosphamide 50mg tablet,50mg,Tablet,Tablets and Capsules
AA019560,Cyclosporine 50mg (Sandimmum Neoral Capsule),50mg,Capsule,Tablets and Capsules
AA019800,Dapson 100 mg Tablets,100mg,Tablet,Tablets and Capsules
AA020100,Dexamethasone 0.5mg tablet,0.5mg,Tablet,Tablets and Capsules
AA020400,Diazepam 5mg tablet,5mg,Tablet,Tablets and Capsules
AA020401,Diazepam 5mg tablet,5mg,Tablet,Tablets and Capsules
AA020700,"Diclofenac sodium 100mg , Slow Release tablets",100mg,Tablet,Tablets and Capsules
AA021000,Diclofenac sodium 50mg  tablet,50mg,Tablet,Tablets and Capsules
AA021300,Digoxin 250 micrograms tablet,250mg,Tablet,Tablets and Capsules
AA021600,Digoxin 62.5 micrograms tablet,62.5mcg,Tablet,Tablets and Capsules
AA021900,Dihydrocodeine 30mg tablet,30mg,Tablet,Tablets and Capsules
AA022500,Doxycycline 100mg tablet,100mg,Tablet,Tablets and Capsules
AA022800,Enalapril 10mg tablet,10mg,Tablet,Tablets and Capsules
AA023100,Erlotinib 100mg Tablet,100mg,Tablet,Tablets and Capsules
AA023400,Erlotinib 150mg tablet,150mg,tablet,Tablets and Capsules
AA023700,"Erythromycin 250mg, enteric coated tablets",250mg,Tablet,Tablets and Capsules
AA024600,Etoposide 50mg capsule,50mg,Capsule,Tablets and Capsules
AA024900,Etoposide 50mg capsule,50mg,Capsule,Tablets and Capsules
AA025200,"Ferrous sulphate 200mg / folic acid 250 micrograms, coated tablets",450mg,Tablet,Tablets and Capsules
AA025500,"Ferrous sulphate 200mg, sugar coated tablets",200mg,Tablet,Tablets and Capsules
AA025800,Flucloxacillin 250mg capsule,250mg,Capsule,Tablets and Capsules
AA026100,Flucloxacillin 500mg capsule,500mg,Capsule,Tablets and Capsules
AA026400,Fluconazole 200mg tablet,200mg,Tablet,Tablets and Capsules
AA027000,Fluoxetine 20mg tablet,20mg,Tablet,Tablets and Capsules
AA027100,Fluoxetine 20mg tablet,20mg,Tablet,Tablets and Capsules
AA027300,Flutamide 250mg tablet,250mg,Tablet,Tablets and Capsules
AA027600,Flutamide 250mg tablet,250mg,Tablet,Tablets and Capsules
AA027900,Folic acid 5mg tablet,5mg,Tablet,Tablets and Capsules
AA028200,Furosemide (Frusemide) 40mg tablet,40mg,Tablet,Tablets and Capsules
AA028250,Fosamax 70mg tablets,70mg,Tablet,Tablets and Capsules
AA028400,Nifedipine 30mg(Adalat XL 30mg) tablets,30mg,Tablet,Tablets and Capsules
AA028800,Glibenclamide 5mg tablet,5mg,Tablet,Tablets and Capsules
AA028850,Glibenclamide 5mg tablet,5mg,Tablet,Tablets and Capsules
AA029400,Griseofulvin 125mg tablet,125mg,Tablet,Tablets and Capsules
AA029700,Griseofulvin 250mg tablet,250mg,Tablet,Tablets and Capsules
AA029701,Griseofulvin 250mg tablet,250mg,Tablet,Tablets and Capsules
AA030000,Haloperidol 5mg tablet,5mg,Tablet,Tablets and Capsules
AA030300,Haloperidol 2mg tablet,2mg,Tablet,Tablets and Capsules
AA030600,Hydralazine 25mg tablet,25mg,Tablet,Tablets and Capsules
AA030900,Hydrochlorothiazide 25mg tablet,25mg,Tablet,Tablets and Capsules
AA031200,Hydrocortisone acetate 20mg tablet,20mg,Tablet,Tablets and Capsules
AA031500,Hydroxyurea 1000mg tablet,1000mg,Tablet,Tablets and Capsules
AA031800,Hydroxyurea 500mg tablets,500mg,Tablet,Tablets and Capsules
AA032100,Hydroxyurea 500mg capsule,500mg,tablet,Tablets and Capsules
AA032400,"Ibuprofen 200mg, coated tablets",200mg,Tablet,Tablets and Capsules
AA033000,Imatinib Mesylate 400mg capsule,400mg,Capsule,Tablets and Capsules
AA033300,Imipramine Hcl 10mg tablet,10mg,Tablet,Tablets and Capsules
AA033302,Imipramine Hcl 25mg tablets,25mg,Tablet,Tablets and Capsules
AA033600,Indomethacin 25mg capsule,25mg,Capsule,Tablets and Capsules
AA033900,Indomethacin 25mg tablet,25mg,Tablet,Tablets and Capsules
AA034200,Isosorbide dinitrate 10mg tablet,10mg,Tablet,Tablets and Capsules
AA034500,Ivermectin 6mg tablet,6mg,Tablet,Tablets and Capsules
AA034800,Ketoconazole 200mg tablet,200mg,Tablet,Tablets and Capsules
AA036000,Leucovorin 15mg tablets,15mg,Tablet,Tablets and Capsules
AA036300,Leucovorin 15mg tablet,15mg,Tablet,Tablets and Capsules
AA036600,Lisinopril 10mg  tablet,10mg,Tablet,Tablets and Capsules
AA036900,Lisinopril 20mg tablet,20mg,Tablet,Tablets and Capsules
AA037800,Lomustine 40mg Capsule,40mg,Capsule,Tablets and Capsules
AA038100,Loperamide HCl 2mg tablet,2mg,Tablet,Tablets and Capsules
AA038400,Lorazepam 1mg tablet,1mg,Tablet,Tablets and Capsules
AA038700,"Lorazepam 2mg, tables",2mg,Tablet,Tablets and Capsules
AA039000,Losartan 25mg tablet,25mg,Tablet,Tablets and Capsules
AA039500,Losartan 50mg tablet,50mg,NA,Tablets and Capsules
AA039600,"Lumefantrine 120mg/Artemether 20mg, 30x6 tablet",140mg,Tablet,Tablets and Capsules
AA039900,"Lumefantrine 120mg/Artemether 20mg, 30x12 tablet",140mg,Tablet,Tablets and Capsules
AA040200,"Lumefantrine 120mg/Artemether 20mg, 30x18 tablet",140mg,Tablet,Tablets and Capsules
AA040500,"Lumefantrine 120mg/Artemether 20mg, 30x24 tablet",140mg,Tablet,Tablets and Capsules
AA040800,Magnesium trisilicate compound 250mg tablet,250mg,Tablet,Tablets and Capsules
AA041400,Melphalan 2mg tablet,2mg,Tablet,Tablets and Capsules
AA041700,Mercaptopurin 50mg tablet,50mg,Tablet,Tablets and Capsules
AA042000,Metformin hydrochloride 500mg tablet,500mg,Tablet,Tablets and Capsules
AA042001,Metformin hydrochloride 500mg tablet,500mg,Tablet,Tablets and Capsules
AA042300,Metformin hydrochloride 850mg tablet,850mg,Tablet,Tablets and Capsules
AA042301,Metformin hydrochloride 850mg tablet,850mg,Tablet,Tablets and Capsules
AA042600,Methotrexate 10mg tablet,10mg,Tablet,Tablets and Capsules
AA042900,Methotrexate 2.5mg tablet,2.5mg,Tablet,Tablets and Capsules
AA043200,Methyldopa 250mg tablet,250mg,Tablet,Tablets and Capsules
AA043500,Methylphenidate 5mg tablet,5mg,Tablet,Tablets and Capsules
AA043800,Metoclopromide 10mg tablet,10mg,Tablet,Tablets and Capsules
AA044100,Metronidazole 200mg tablet,200mg,Tablet,Tablets and Capsules
AA044450,Midazolam 15mg tablet,15mg,Tablet,Tablets and Capsules
AA044700,Mirtazapine 15mg tablet,15mg,Tablet,Tablets and Capsules
AA045000,Misoprostol 200 mcg tablet,200mg,Tablet,Tablets and Capsules
AA045300,Morphine sulphate 10mg (slow release) tablet,10mg,Tablet,Tablets and Capsules
AA045600,Nalidixic acid 500mg tablet,500mg,Tablet,Tablets and Capsules
AA045900,Nicotinamide 50mg tablet,50mg,Tablet,Tablets and Capsules
